                                                         Subnet 3: templar                                                          
                                                           Network: test                                                            
                                                                                                                                    
 UID ┃ Stake (γ) ┃ Alpha (γ) ┃   Tao (τ) ┃ Dividends ┃ Incentive ┃ Emissions (γ) ┃ Hotkey ┃ Coldkey ┃ Identity                      
 129 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Guxie │ 5E7uws  │ ~                             
 130 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5G7FYj │ 5E7uws  │ ~                             
 131 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GsecT │ 5E7uws  │ ~                             
 132 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EFiiN │ 5CoxgQ  │ CrypticMax                    
 134 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EoF21 │ 5GU72W  │ ~                             
 135 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5E2F46 │ 5HYz9n  │ ~                             
 136 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EZyTj │ 5EAQTK  │ ~                             
 137 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FURdq │ 5EAQTK  │ ~                             
 138 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5ERyYz │ 5DLrqU  │ ~                             
 139 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5F4Hou │ 5GF1UP  │ ~                             
 140 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5F7Wpf │ 5DPyS4  │ ~                             
 141 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Fv2oB │ 5Hge7m  │ ~                             
 142 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EWM19 │ 5DJNsW  │ ~                             
 143 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CDBdS │ 5HYPqA  │ ~                             
 144 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FHTvV │ 5CDMeS  │ ~                             
 146 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DhYRE │ 5HNZtW  │ ~                             
 147 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GHk4s │ 5GQuzj  │ ~                             
 148 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5G4WCF │ 5ChkqL  │ ~                             
 149 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GHpYo │ 5CRqUU  │ ~                             
 150 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GxZAA │ 5FcEc2  │ ~                             
 151 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CtHTZ │ 5FhXua  │ ~                             
 154 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HQqJw │ 5DSdEa  │ ~                             
 155 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DyeN4 │ 5Et51Y  │ ~                             
 157 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5E6uEk │ 5EcgWv  │ ~                             
 159 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FLLX5 │ 5DXVie  │ ~                             
 160 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EM1T8 │ 5G1XfE  │ ~                             
 161 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EEzAt │ 5HbMAL  │ ~                             
 162 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CDHU8 │ 5CSadL  │ ~                             
 167 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HTFRZ │ 5CSX1Y  │ ~                             
 168 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CHyeQ │ 5GEs7r  │ Owner99                       
 169 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GdkZk │ 5HTQCa  │ ~                             
 170 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FxRWJ │ 5GesLS  │ ~                             
 171 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GmaRH │ 5FbsFN  │ Owner97                       
 172 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EvyoJ │ 5EL2tD  │ ~                             
 173 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HbKrZ │ 5GxChk  │ ~                             
 174 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Fj9Dj │ 5Hmohu  │ ~                             
 176 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CiQ11 │ 5Gs6BC  │ ~                             
 177 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EhWvX │ 5Chz5t  │ ~                             
 178 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GpRPZ │ 5HKRTH  │ ~                             
 181 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5C82nL │ 5GTEL7  │ ~                             
 183 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GrgH8 │ 5HGsLj  │ ~                             
 184 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GqF1Q │ 5G79d1  │ ~                             
 191 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GxAPx │ 5G9r4x  │ ~                             
 192 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GGoTL │ 5HQe7i  │ ~                             
 193 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5F4PP6 │ 5EXJSk  │ ~                             
 194 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Ci2cG │ 5Fv4CG  │ ~                             
 196 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HRPpS │ 5FKgn7  │ ~                             
 197 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GKkQK │ 5E76bD  │ ~                             
 199 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CS61U │ 5H6Rp7  │ ~                             
 200 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EUsJw │ 5FejVW  │ ~                             
 202 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5ETh9q │ 5FejVW  │ ~                             
 203 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GVuSM │ 5FjLww  │ Owner74                       
 204 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DPNWy │ 5FjLww  │ Owner74                       
 205 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FWjKX │ 5DqACz  │ ~                             
 206 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5G9PJo │ 5D8FmF  │ ~                             
 208 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EqEB3 │ 5G1iCd  │ Owner116                      
 209 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HRN5G │ 5GKi28  │ ~                             
 210 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5G9cBN │ 5DtUM6  │ ~                             
 211 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DwTUH │ 5Et7ni  │ ~                             
 212 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DCoo2 │ 5Et7ni  │ ~                             
 213 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FA8mY │ 5GBeCs  │ ~                             
 214 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5E4UY5 │ 5GBeCs  │ ~                             
 215 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HRHfh │ 5GBeCs  │ ~                             
 216 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GLWYf │ 5HEw9e  │ ~                             
 218 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EaExs │ 5GjVb6  │ ~                             
 219 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EcbHJ │ 5GQUKZ  │ ~                             
 220 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EnFtt │ 5EHEpD  │ ~                             
 221 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DXNPf │ 5FejVW  │ ~                             
 222 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5Guqzy │ 5HYPqA  │ ~                             
 224 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5D28dZ │ 5GeKVN  │ ~                             
 225 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GzyN3 │ 5FHJaa  │ ~                             
 227 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5FnrBE │ 5D7sAT  │ ~                             
 228 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DMEoc │ 5FJCE5  │ ~                             
 229 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DqAXa │ 5CXNzM  │ ~                             
 232 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5E1qYu │ 5Ef8s5  │ ~                             
 237 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CvqZu │ 5CfGLQ  │ ~                             
 239 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HN3Rq │ 5FYuxK  │ ~                             
 240 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HbmbA │ 5EWS7k  │ ~                             
 241 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DXRG8 │ 5DsnfJ  │ ~                             
 242 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HnCdg │ 5DsnfJ  │ ~                             
 244 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HThAq │ 5DF8AP  │ ~                             
 245 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5GbiJb │ 5GvNqR  │ ~                             
 246 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5E81DC │ 5DF8AP  │ ~                             
 248 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5F9WFd │ 5GeJgv  │ ~                             
 249 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5EUXpQ │ 5Df1Y4  │ ~                             
 250 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5CMfLX │ 5Hj9CS  │ ~                             
 252 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5DZkBQ │ 5Et6Cv  │ ~                             
 253 │    0.00 γ │    0.00 γ │    τ 0.00 │ 0.000000  │ 0.000000  │  0.000000 γ   │ 5HpvEF │ 5CFeAp  │ ~                             
─────┼───────────┼───────────┼───────────┼───────────┼───────────┼───────────────┼────────┼─────────┼───────────────────────────────
     │   1.57m γ │   1.55m γ │ 172.83k γ │   0.000   │           │   ‎82.0005 γ‎   │        │         │                               


Subnet 3: templar
  Owner: 5FupG35rCCMghVEAzdYuxxb4SWHU7HtpKeveDmSoyCN8vHyb (Owner3)
  Rate: 0.1243 τ/γ
  Emission: τ 0.0000
  TAO Pool: τ 219.66k
  Alpha Pool: 1.94m γ
  Tempo: 78/99
  Registration cost (recycled): τ 0.0005
